1,AD,20171229,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
2,BO,20171229,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1
3,BP,20171229,1,-1,1,1,-1,-1,-1,1,0,-1,0,-1
4,C,20171229,1,-1,-1,1,1,-1,1,1,0,0,0,-1
5,CD,20171229,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
6,CL,20171229,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
7,CU,20171229,1,-1,1,1,-1,-1,-1,0,0,0,0,1
8,EMD,20171229,1,-1,-1,1,-1,-1,-1,1,0,-1,0,1
9,ES,20171229,1,-1,-1,1,1,1,-1,1,0,0,0,1
10,FC,20171229,1,-1,1,-1,-1,-1,-1,0,0,0,-1,-1
11,FV,20171229,-1,1,1,-1,1,1,-1,0,0,1,0,-1
12,GC,20171229,-1,1,1,1,-1,-1,-1,0,1,-1,-1,-1
13,HG,20171229,1,-1,1,1,-1,-1,-1,-1,0,-1,-1,1
14,HO,20171229,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
15,JY,20171229,-1,1,1,-1,1,-1,-1,-1,1,0,0,1
16,LC,20171229,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
17,LH,20171229,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
18,MP,20171229,1,-1,-1,-1,-1,-1,1,-1,0,0,0,-1
19,NE,20171229,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
20,NG,20171229,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
21,NIY,20171229,1,-1,-1,1,-1,-1,-1,-1,0,0,0,1
22,NQ,20171229,1,-1,-1,-1,1,1,-1,-1,0,0,0,1
23,PA,20171229,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
24,PL,20171229,-1,1,1,1,-1,-1,-1,0,0,0,-1,-1
25,RB,20171229,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
26,S,20171229,1,-1,1,-1,1,1,-1,0,-1,1,0,1
27,SF,20171229,1,-1,1,1,-1,-1,-1,1,0,0,0,1
28,SI,20171229,-1,1,1,1,-1,-1,-1,0,1,-1,1,-1
29,SM,20171229,1,-1,-1,-1,1,1,-1,1,0,1,0,1
30,TU,20171229,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1
31,TY,20171229,-1,1,1,-1,-1,-1,-1,1,0,0,0,1
32,US,20171229,-1,1,1,-1,-1,-1,-1,0,0,0,-1,1
33,W,20171229,1,-1,1,1,-1,-1,1,0,0,-1,-1,-1
34,YM,20171229,1,-1,-1,1,-1,-1,1,-1,0,-1,0,1
35,CC,20171229,1,-1,-1,-1,-1,-1,1,1,0,0,0,-1
36,CT,20171229,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1
37,KC,20171229,1,-1,1,1,-1,-1,-1,0,0,0,-1,-1
38,SB,20171229,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
39,VX,20171229,-1,1,1,-1,1,-1,1,1,0,0,0,-1
40,AD,20180102,1,-1,1,1,-1,-1,-1,1,1,0,-1,-1
41,BO,20180102,1,-1,1,1,-1,-1,-1,1,0,0,0,1
42,BP,20180102,1,-1,1,1,-1,-1,-1,0,1,-1,-1,1
43,C,20180102,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
44,CD,20180102,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
45,CL,20180102,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1
46,CU,20180102,1,-1,1,1,-1,-1,-1,0,0,0,1,1
47,EMD,20180102,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
48,ES,20180102,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
49,FC,20180102,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
50,FV,20180102,-1,1,1,-1,-1,1,1,0,0,1,0,-1
51,GC,20180102,-1,1,1,1,-1,-1,-1,0,1,-1,-1,-1
52,HG,20180102,1,-1,1,1,-1,1,1,-1,-1,1,1,1
53,HO,20180102,1,-1,1,1,-1,-1,1,0,0,-1,-1,1
54,JY,20180102,-1,1,1,1,-1,1,-1,0,0,0,-1,-1
55,LC,20180102,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
56,LH,20180102,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
57,MP,20180102,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1
58,NE,20180102,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
59,NG,20180102,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
60,NIY,20180102,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1
61,NQ,20180102,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
62,PA,20180102,1,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1
63,PL,20180102,-1,1,1,1,-1,-1,-1,0,0,0,-1,-1
64,RB,20180102,1,-1,-1,1,-1,-1,1,0,0,1,1,1
65,S,20180102,1,-1,1,-1,1,1,-1,0,0,0,1,-1
66,SF,20180102,1,-1,1,1,-1,-1,-1,1,0,0,0,1
67,SI,20180102,-1,1,1,1,-1,-1,-1,0,1,-1,-1,-1
68,SM,20180102,1,-1,1,-1,1,1,-1,1,1,0,0,-1
69,TU,20180102,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1
70,TY,20180102,-1,1,1,-1,-1,-1,1,-1,0,0,0,-1
71,US,20180102,-1,1,1,-1,-1,-1,-1,1,0,0,0,1
72,W,20180102,1,-1,1,1,-1,-1,-1,1,0,-1,0,1
73,YM,20180102,1,-1,1,1,-1,1,-1,1,1,-1,-1,1
74,CC,20180102,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
