44,CD,20180102,0.8003,0.8008,0.79685,0.8003,61516,121651,80030,2.64,0.005140533,100000,514.0533,0.0016270338
45,CL,20180102,60.22755073,60.59667768,59.95818782,60.22755073,510313,471247,60227.55073,2.81,0.917262661,1000,917.262661,-0.0008275406
46,CU,20180102,1.2106,1.2135,1.20565,1.2106,200345,510820,151325,3.15,0.006319298,125000,789.91225,0.0025257753
47,EMD,20180102,1921.4,1922.4,1898.9,1921.4,21228,92473,192140,3.4,15.083494984,100,1508.3494984,0.0099873844
48,ES,20180102,2693,2696,2674.5,2693,996265,3017744,134650,3.41,15.2916920735,50,764.584603675,0.0063527653
49,FC,20180102,146.875,147.175,143.55,146.875,6994,23408,73437.5,2.85,2.5575853935,500,1278.79269675,0.0294375329
50,FV,20180102,115.9765625,116.1484375,115.8984375,115.9765625,632157,3085886,115976.5625,2.75,0.203125,1000,203.125,-0.0016140964
51,GC,20180102,1321.04883875,1325.36500774,1309.50559611,1321.04883875,279727,361017,132104.883875,3.03,10.710121654,100,1071.0121654,0.0051936149
52,HG,20180102,327.8,330.95,326.75,327.8,107293,175744,81950,3.29,5.2775,250,1319.375,-0.0068171489
53,HO,20180102,2.05129186,2.08338066,2.04760463,2.05129186,82289,158507,86154.25812,2.66,0.036499809,42000,1532.991978,-0.0046902937
54,JY,20180102,0.89405,0.89575,0.88985,0.89405,96808,226582,111756.25,2.73,0.004335003,125000,541.875375,0.0029728517
55,LC,20180102,125.24972193,125.40203209,124.0820107,125.24972193,25617,119103,50099.888772,3.23,1.8835689835,400,753.4275934,0.0148087207
56,LH,20180102,74.20446703,75.54219337,74.15200717,74.20446703,19308,84709,29681.786812,2.86,1.505597882,400,602.2391528,-0.0146290492
57,MP,20180102,0.05069,0.05073,0.05013,0.05069,50586,193620,25345,2.56,0.0004959625,500000,247.98125,0.0121805112
58,NE,20180102,0.7102,0.7124,0.7077,0.7102,25245,45132,71020,3.4,0.005007572,100000,500.7572,0.0021165514
59,NG,20180102,2.98176941,3.02177352,2.852,2.98176941,320176,339055,29817.6941,2.7,0.113818668,10000,1138.18668,0.0348797803
60,NIY,20180102,22825,22895,22615,22825,16066,52782,101661.321931231,3.81,237.5,500,1057.8122216284,0.0055066079
61,NQ,20180102,6514.75,6523.25,6397.75,6514.75,259593,276028,130295,3.35,59.3400340685,20,1186.80068137,0.0165398869
62,PA,20180102,1087.35,1090.45,1056.6,1087.35,4803,36344,108735,3.51,16.5925,100,1659.25,0.0248350613
63,PL,20180102,947.8,950.5,934.5,947.8,15133,78451,47390,2.88,13.413994238,50,670.6997119,0.0101246936
64,RB,20180102,1.77951209,1.82059095,1.77678696,1.77951209,66996,139251,74739.50778,2.97,0.0375076825,42000,1575.322665,-0.0182091531
65,S,20180102,964.75,970,958.75,964.75,69645,348014,48237.5,3.11,10.8508360985,50,542.541804925,0.0031193138
66,SF,20180102,1.0343,1.0365,1.0313,1.0343,23152,75558,129287.5,3.13,0.005562636,125000,695.3295,0.0015493367
67,SI,20180102,1720.6,1725,1698.5,1720.6,78644,151182,86030,3.06,24.035,50,1201.75,0.0035578886
68,SM,20180102,320.48906341,322.10209424,318.77521815,320.48906341,32918,184815,32048.906341,2.99,4.9055278805,100,490.55278805,0.0034722222
69,TU,20180102,106.984375,107.0546875,106.96875,106.984375,261259,1797752,213968.75,2.57,0.06875,2000,137.5,-0.0006567905
70,TY,20180102,123.6875,124,123.53125,123.6875,1062328,3250538,123687.5,2.94,0.346875,1000,346.875,-0.0028970903
71,US,20180102,151.75,152.90625,151.375,151.75,248790,759743,151750,3.15,1.0640625,1000,1064.0625,-0.0081699346
72,W,20180102,433.5,436.25,428.25,433.5,71354,290393,21675,3.28,6.0125,50,300.625,0.0152224824
73,YM,20180102,24768,24857,24716,24768,105418,148530,123840,3.7,144.527898964,5,722.63949482,0.0013341419
74,CC,20180102,1958.76531112,1969.89465948,1883.89514944,1958.76531112,28860,144503,19587.6531112,2.83,55.343214111,10,553.43214111,0.023255814
75,CT,20180102,78.45079614,80.26275646,78.24834247,78.45079614,22644,173730,39225.39807,3.23,1.272421298,500,636.210649,-0.0143711052
76,KC,20180102,132.28362741,132.74082889,128.01641362,132.28362741,31215,122459,49606.36027875,3.49,2.3901477225,375,896.3053959375,0.0316957211
77,SB,20180102,15.33,15.34,15.04,15.33,55783,378476,17169.6,3.23,0.313,1120,350.56,0.0112137203
78,VX,20180102,10.4824431,11.18127264,10.45834552,10.4824431,112066,252783,10482.4431,3.28,0.393432997,1000,393.432997,-0.052287581
79,AD,20180103,0.7839,0.7844,0.7804,0.7839,76130,119826,78390,3.04,0.0044742695,100000,447.42695,0.0011494253
80,BO,20180103,33.9,33.91,33.52,33.9,51227,218765,20340,3.2,0.49039226,600,294.235356,0.0104321908
81,BP,20180103,1.3547,1.3646,1.3525,1.3547,105289,201571,84668.75,2.95,0.008877014,62500,554.813375,-0.0059436454
82,C,20180103,353,354.75,352.25,353,138593,821693,17650,3.28,2.925,50,146.25,-0.0007077141
83,CD,20180103,0.79835,0.80095,0.7974,0.79835,57384,121741,79835,2.74,0.005067619,100000,506.7619,-0.0024365863
84,CL,20180103,61.48457763,61.82377537,60.1377631,61.48457763,673859,477484,61484.57763,2.76,0.959669781,1000,959.669781,0.0208712937
85,CU,20180103,1.20685,1.21185,1.20535,1.20685,184726,517682,150856.25,3.07,0.006254258,125000,781.78225,-0.0030976375
86,EMD,20180103,1924.4,1928.7,1917.3,1924.4,19394,91102,192440,3.41,14.47587514,100,1447.587514,0.0015613615
87,ES,20180103,2711,2714.25,2692.25,2711,1114548,3064592,135550,3.5,15.3155827865,50,765.779139325,0.0066839955
88,FC,20180103,146.825,147.125,146.15,146.825,4613,23379,73412.5,2.78,2.356609166,500,1178.304583,-0.0003404255
89,FV,20180103,115.984375,116.0859375,115.9375,115.984375,582585,3072806,115984.375,2.82,0.201171875,1000,201.171875,6.73627484000239E-05
